gene	transcript	protein_change	score	pvalue	qvalue	info
CD163	NA	NA	NA	NA	1	NA
CD163L1	NA	NA	NA	NA	1	NA
CD1D	NA	NA	NA	NA	1	NA
CD1E	NA	NA	NA	NA	1	NA
CD2AP	NA	NA	NA	NA	1	NA
CD2BP2	NA	NA	NA	NA	1	NA
CD86	NA	NA	NA	NA	1	NA
CD93	NA	NA	NA	NA	1	NA
CDC14B	NA	NA	NA	NA	1	NA
CDC27	NA	NA	NA	NA	1	NA
CDC42BPA	NA	NA	NA	NA	1	NA
CDC42BPB	NA	NA	NA	NA	1	NA
CDC6	NA	NA	NA	NA	1	NA
CDCA2	NA	NA	NA	NA	1	NA
CDH1	NA	NA	NA	NA	1	NA
CDH10	NA	NA	NA	NA	1	NA
CDH11	NA	NA	NA	NA	1	NA
CDH12	NA	NA	NA	NA	1	NA
CDH13	NA	NA	NA	NA	1	NA
CDH15	NA	NA	NA	NA	1	NA
CDH16	NA	NA	NA	NA	1	NA
CDH17	NA	NA	NA	NA	1	NA
CDH18	NA	NA	NA	NA	1	NA
CDH19	NA	NA	NA	NA	1	NA
CDH2	NA	NA	NA	NA	1	NA
CDH22	NA	NA	NA	NA	1	NA
CDH23	NA	NA	NA	NA	1	NA
CDH26	NA	NA	NA	NA	1	NA
CDH4	NA	NA	NA	NA	1	NA
CDH5	NA	NA	NA	NA	1	NA
CDH6	NA	NA	NA	NA	1	NA
CDH7	NA	NA	NA	NA	1	NA
CDH8	NA	NA	NA	NA	1	NA
CDH9	NA	NA	NA	NA	1	NA
CDHR1	NA	NA	NA	NA	1	NA
CDHR2	NA	NA	NA	NA	1	NA
CDHR5	NA	NA	NA	NA	1	NA
CDK11A	NA	NA	NA	NA	1	NA
CDK12	NA	NA	NA	NA	1	NA
CDK13	NA	NA	NA	NA	1	NA
CDK15	NA	NA	NA	NA	1	NA
CDKN1A	NA	NA	NA	NA	1	NA
CDON	NA	NA	NA	NA	1	NA
CEACAM8	NA	NA	NA	NA	1	NA
CEBPZ	NA	NA	NA	NA	1	NA
CECR2	NA	NA	NA	NA	1	NA
CELF2	NA	NA	NA	NA	1	NA
CELF3	NA	NA	NA	NA	1	NA
CELSR1	NA	NA	NA	NA	1	NA
CELSR2	NA	NA	NA	NA	1	NA
CELSR3	NA	NA	NA	NA	0.341917113518051	NA
CENPE	NA	NA	NA	NA	1	NA
CENPF	NA	NA	NA	NA	1	NA
CENPJ	NA	NA	NA	NA	1	NA
CENPT	NA	NA	NA	NA	1	NA
CEP104	NA	NA	NA	NA	1	NA
CEP152	NA	NA	NA	NA	1	NA
CEP170	NA	NA	NA	NA	1	NA
CEP192	NA	NA	NA	NA	1	NA
CEP250	NA	NA	NA	NA	1	NA
CEP290	NA	NA	NA	NA	1	NA
CEP350	NA	NA	NA	NA	1	NA
CEP41	NA	NA	NA	NA	1	NA
CEP63	NA	NA	NA	NA	1	NA
CEP85L	NA	NA	NA	NA	1	NA
CEP89	NA	NA	NA	NA	1	NA
CEP97	NA	NA	NA	NA	1	NA
CES2	NA	NA	NA	NA	1	NA
CFB	NA	NA	NA	NA	1	NA
CFH	NA	NA	NA	NA	1	NA
CFHR2	NA	NA	NA	NA	1	NA
CFHR4	NA	NA	NA	NA	1	NA
CFTR	NA	NA	NA	NA	1	NA
CGNL1	NA	NA	NA	NA	1	NA
CHAF1A	NA	NA	NA	NA	1	NA
CHD1	NA	NA	NA	NA	1	NA
CHD2	NA	NA	NA	NA	1	NA
CHD3	NA	NA	NA	NA	1	NA
CHD4	NA	NA	NA	NA	1	NA
CHD5	NA	NA	NA	NA	1	NA
CHD6	NA	NA	NA	NA	1	NA
CHD7	NA	NA	NA	NA	1	NA
CHD8	NA	NA	NA	NA	1	NA
CHD9	NA	NA	NA	NA	1	NA
CHEK2	NA	NA	NA	NA	1	NA
CHERP	NA	NA	NA	NA	1	NA
CHFR	NA	NA	NA	NA	1	NA
CHGB	NA	NA	NA	NA	1	NA
CHL1	NA	NA	NA	NA	1	NA
CHMP2A	NA	NA	NA	NA	0.948704878510352	NA
CHRD	NA	NA	NA	NA	1	NA
CHRM3	NA	NA	NA	NA	1	NA
CHRND	NA	NA	NA	NA	1	NA
CHSY1	NA	NA	NA	NA	1	NA
CHSY3	NA	NA	NA	NA	1	NA
CIC	NA	NA	NA	NA	1	NA
CIITA	NA	NA	NA	NA	1	NA
CILP2	NA	NA	NA	NA	1	NA
CIT	NA	NA	NA	NA	1	NA
CKAP5	NA	NA	NA	NA	1	NA
CKMT2	NA	NA	NA	NA	1	NA
CLASP1	NA	NA	NA	NA	1	NA
CLASP2	NA	NA	NA	NA	0.133459237523088	NA
CLCN1	NA	NA	NA	NA	1	NA
CLCN2	NA	NA	NA	NA	1	NA
CLEC16A	NA	NA	NA	NA	1	NA
CLHC1	NA	NA	NA	NA	1	NA
CLIP1	NA	NA	NA	NA	1	NA
CLIP2	NA	NA	NA	NA	1	NA
CLK1	NA	NA	NA	NA	1	NA
CLK2	NA	NA	NA	NA	1	NA
CLN3	NA	NA	NA	NA	1	NA
CLPTM1	NA	NA	NA	NA	1	NA
CLSPN	NA	NA	NA	NA	1	NA
CLSTN2	NA	NA	NA	NA	1	NA
CLTC	NA	NA	NA	NA	1	NA
CLTCL1	NA	NA	NA	NA	1	NA
CLUH	NA	NA	NA	NA	1	NA
CMSS1	NA	NA	NA	NA	1	NA
CMYA5	NA	NA	NA	NA	0.903278655363847	NA
CNGB1	NA	NA	NA	NA	1	NA
CNGB3	NA	NA	NA	NA	1	NA
CNKSR2	NA	NA	NA	NA	1	NA
CNNM2	NA	NA	NA	NA	1	NA
CNNM4	NA	NA	NA	NA	1	NA
